"Time(s)","SOH_C_Out","agingCapacitor.C_actual(F)"
1.5198665,0.000322070307610856,
1.5199,0.000322070307610856,
1.5199165,0.000322070307610856,
1.51995,0.000322070307610856,
1.5199665,0.000322070307610856,
1.52,0.000322063912238607,
1.520019,0.000322063912238607,
1.52005,0.000322063912238607,
1.520069,0.000322063912238607,
1.5201,0.000322063912238607,
1.520119,0.000322063912238607,
1.52015,0.000322063912238607,
1.520169,0.000322063912238607,
1.5202,0.000322062677219893,
1.520219,0.000322062677219893,
1.52025,0.000322062677219893,
1.520269,0.000322062677219893,
1.5203,0.000322062677219893,
1.520319,0.000322062677219893,
1.52035,0.000322062677219893,
1.520369,0.000322062677219893,
1.5204,0.000322058235351567,
1.520419,0.000322058235351567,
1.52045,0.000322058235351567,
1.520469,0.000322058235351567,
1.5205,0.000322058235351567,
1.520519,0.000322058235351567,
1.52055,0.000322058235351567,
1.520569,0.000322058235351567,
1.5206,0.000322054015576658,
1.520619,0.000322054015576658,
1.52065,0.000322054015576658,
1.520669,0.000322054015576658,
1.5207,0.000322054015576658,
1.520719,0.000322054015576658,
1.52075,0.000322054015576658,
1.520769,0.000322054015576658,
1.5208,0.000322050006790494,
1.520819,0.000322050006790494,
1.52085,0.000322050006790494,
1.520869,0.000322050006790494,
1.5209,0.000322050006790494,
1.520919,0.000322050006790494,
1.52095,0.000322050006790494,
1.520969,0.000322050006790494,
1.521,0.000322051090740428,
1.5210165,0.000322051090740428,
1.52105,0.000322051090740428,
1.5210665,0.000322051090740428,
1.5211,0.000322051090740428,
1.5211165,0.000322051090740428,
1.52115,0.000322051090740428,
1.5211665,0.000322051090740428,
1.5212,0.000322052071928029,
1.5212165,0.000322052071928029,
1.52125,0.000322052071928029,
1.5212665,0.000322052071928029,
1.5213,0.000322052071928029,
1.5213165,0.000322052071928029,
1.52135,0.000322052071928029,
1.5213665,0.000322052071928029,
1.5214,0.00032205300405625,
1.5214165,0.00032205300405625,
1.52145,0.00032205300405625,
1.5214665,0.00032205300405625,
1.5215,0.00032205300405625,
1.5215165,0.00032205300405625,
1.52155,0.00032205300405625,
1.5215665,0.00032205300405625,
1.5216,0.00032205231666,
1.5216165,0.00032205231666,
1.52165,0.00032205231666,
1.5216665,0.00032205231666,
1.5217,0.00032205231666,
1.5217165,0.00032205231666,
1.52175,0.00032205231666,
1.5217665,0.00032205231666,
1.5218,0.000322051663633561,
1.5218165,0.000322051663633561,
1.52185,0.000322051663633561,
1.5218665,0.000322051663633561,
1.5219,0.000322051663633561,
1.5219165,0.000322051663633561,
1.52195,0.000322051663633561,
1.5219665,0.000322051663633561,
1.522,0.00032205261540863,
1.522019,0.00032205261540863,
1.52205,0.00032205261540863,
1.522069,0.00032205261540863,
1.5221,0.00032205261540863,
1.522119,0.00032205261540863,
1.52215,0.00032205261540863,
1.522169,0.00032205261540863,
1.5222,0.000322053519594945,
1.522219,0.000322053519594945,
1.52225,0.000322053519594945,
1.522269,0.000322053519594945,
1.5223,0.000322053519594945,
1.522319,0.000322053519594945,
1.52235,0.000322053519594945,
1.522369,0.000322053519594945,
1.5224,0.000322054378571944,
1.522419,0.000322054378571944,
1.52245,0.000322054378571944,
1.522469,0.000322054378571944,
1.5225,0.000322054378571944,
1.522519,0.000322054378571944,
1.52255,0.000322054378571944,
1.522569,0.000322054378571944,
1.5226,0.000322052049378422,
1.522619,0.000322052049378422,
1.52265,0.000322052049378422,
1.522669,0.000322052049378422,
1.5227,0.000322052049378422,
1.522719,0.000322052049378422,
1.52275,0.000322052049378422,
1.522769,0.000322052049378422,
1.5228,0.000322049836644576,
1.522819,0.000322049836644576,
1.52285,0.000322049836644576,
1.522869,0.000322049836644576,
1.5229,0.000322049836644576,
1.522919,0.000322049836644576,
1.52295,0.000322049836644576,
1.522969,0.000322049836644576,
1.523,0.000322050965976363,
1.5230165,0.000322050965976363,
1.52305,0.000322050965976363,
1.5230665,0.000322050965976363,
1.5231,0.000322050965976363,
1.5231165,0.000322050965976363,
1.52315,0.000322050965976363,
1.5231665,0.000322050965976363,
1.5232,0.000322050466222306,
1.5232165,0.000322050466222306,
1.52325,0.000322050466222306,
1.5232665,0.000322050466222306,
1.5233,0.000322050466222306,
1.5233165,0.000322050466222306,
1.52335,0.000322050466222306,
1.5233665,0.000322050466222306,
1.5234,0.000322046846524595,
1.5234165,0.000322046846524595,
1.52345,0.000322046846524595,
1.5234665,0.000322046846524595,
1.5235,0.000322046846524595,
1.5235165,0.000322046846524595,
1.52355,0.000322046846524595,
1.5235665,0.000322046846524595,
1.5236,0.000322044979663264,
1.5236165,0.000322044979663264,
1.52365,0.000322044979663264,
1.5236665,0.000322044979663264,
1.5237,0.000322044979663264,
1.5237165,0.000322044979663264,
1.52375,0.000322044979663264,
1.5237665,0.000322044979663264,
1.5238,0.000322043206144999,
1.5238165,0.000322043206144999,
1.52385,0.000322043206144999,
1.5238665,0.000322043206144999,
1.5239,0.000322043206144999,
1.5239165,0.000322043206144999,
1.52395,0.000322043206144999,
1.5239665,0.000322043206144999,
1.524,0.000322045728841791,
1.524019,0.000322045728841791,
1.52405,0.000322045728841791,
1.524069,0.000322045728841791,
1.5241,0.000322045728841791,
1.524119,0.000322045728841791,
1.52415,0.000322045728841791,
1.524169,0.000322045728841791,
